nomen_regulae;genus;descriptio
exigit variationes;exigit;exercise has variations
exigit tractionem;exigit;pull exercise
exigit propulsionem;exigit;push exercise
exigit angulum minimum;exigit;angles are restricted to a minimum value
exigit angulum non negativum;exigit;exercise can not be performed with a decline angle
exigit angulos permissos;exigit;exercise can only be performed with specific angles
exigit prehensiones;exigit;exercise can be performed with different grip types
exigit genus prehensionis;exigit;exercise can be performed with different grip widths
exigit compositatem;exigit;compound exercise
exigit isolationem;exigit;isolation exercise
exigit unilateralitatem;exigit;exercise is performed unilaterally
exigit bilateralitatem;exigit;exercise is performed bilaterally
exigit laterales;exigit;exercise is performed unilaterally, bilaterally or both
exigit modum externum;exigit;exercise is performed using an external load
exigit modum corporis;exigit;exercise is performed using bodyweight
exigit modus oneris;exigit;exercise is performed using bodyweight, external load or both
vetat angulum;vetat;exercise can not be performed with specific angles
vetat prehensiones;vetat;exercise can not be performed with grip types
vetat genus prehensionis;vetat;exercise can not be performed with different grip widths
